"","County","State","Age.AdjustedCANCERcases_per100000","Recent.Trend","Average.Annual.Count"
"461","Cheyenne"," Colorado",401.1,"stable",10
"462","Cheyenne"," Nebraska",435.1,"stable",54
"463","Chickasaw"," Iowa",447.1,"stable",76
"464","Chickasaw"," Mississippi",473.9,"stable",101
"465","Chicot"," Arkansas",445.4,"stable",70
"466","Childress"," Texas",382.5,"stable",30
"467","Chilton"," Alabama",426.6,"stable",222
"468","Chippewa"," Michigan",407.8,"stable",190
"469","Chippewa"," Wisconsin",486.8,"stable",385
"470","Chittenden"," Vermont",458.7,"falling",797
"471","Choctaw"," Alabama",436.2,"stable",85
"472","Choctaw"," Mississippi",396.3,"stable",48
"473","Choctaw"," Oklahoma",447.1,"stable",92
"474","Chouteau"," Montana",396,"stable",32
"475","Chowan"," North Carolina",471.1,"stable",104
"476","Christian"," Illinois",545.6,"stable",252
"477","Christian"," Kentucky",462.6,"falling",299
"478","Christian"," Missouri",415.7,"stable",382
"479","Churchill"," Nevada",396.6,"stable",123
"480","Cibola"," New Mexico",338.7,"stable",104
"481","Cimarron"," Oklahoma",506.9,"stable",16
"482","Citrus"," Florida",511.8,"stable",1454
"483","Clackamas"," Oregon",461.2,"stable",2257
"484","Claiborne"," Mississippi",454.7,"stable",48
"485","Claiborne"," Tennessee",530.6,"stable",225
"486","Claiborne Parish"," Louisiana",462.4,"stable",99
"487","Clallam"," Washington",497.5,"stable",631
"488","Clare"," Michigan",489,"stable",226
"489","Clarendon"," South Carolina",464.3,"falling",226
"490","Clarion"," Pennsylvania",469.2,"stable",241
"491","Clark"," Arkansas",491.1,"stable",127
"492","Clark"," Illinois",470.3,"stable",104
"493","Clark"," Indiana",480.1,"stable",631
"494","Clark"," Kentucky",566.7,"stable",251
"495","Clark"," Missouri",484.3,"stable",46
"496","Clark"," Nevada",382.9,"stable",8443
"497","Clark"," Ohio",476.4,"stable",845
"498","Clark"," South Dakota",442,"stable",23
"499","Clark"," Washington",429.7,"stable",2126
"500","Clark"," Wisconsin",463.3,"stable",191
"501","Clarke"," Alabama",472.1,"stable",155
"502","Clarke"," Georgia",460,"stable",448
"503","Clarke"," Iowa",505.6,"stable",60
"504","Clarke"," Mississippi",442.7,"stable",99
"505","Clarke"," Virginia",423.7,"stable",83
"506","Clatsop"," Oregon",464,"stable",246
"507","Clay"," Alabama",465.4,"stable",86
"508","Clay"," Arkansas",522.4,"stable",115
"509","Clay"," Florida",507.8,"stable",1138
"510","Clay"," Georgia",428.1,"stable",20
"511","Clay"," Illinois",531.6,"stable",99
"512","Clay"," Indiana",501.3,"stable",167
"513","Clay"," Iowa",479.1,"stable",112
"514","Clay"," Kentucky",560,"rising",135
"515","Clay"," Mississippi",450.3,"stable",114
"516","Clay"," Missouri",465.7,"stable",1153
"517","Clay"," Nebraska",406.9,"stable",37
"518","Clay"," North Carolina",481,"stable",91
"519","Clay"," South Dakota",492.7,"stable",58
"520","Clay"," Tennessee",421.4,"stable",51
"521","Clay"," Texas",440.2,"stable",65
"522","Clay"," West Virginia",569.1,"stable",68
"523","Clayton"," Georgia",476.5,"stable",1044
"524","Clayton"," Iowa",443.3,"stable",116
"525","Clear Creek"," Colorado",403.7,"stable",53
"526","Clearfield"," Pennsylvania",476.7,"stable",537
"527","Clearwater"," Idaho",459.9,"stable",69
"528","Cleburne"," Alabama",460.1,"stable",91
"529","Cleburne"," Arkansas",481.3,"stable",205
"530","Clermont"," Ohio",470,"stable",1104
"531","Cleveland"," Arkansas",499.1,"stable",58
"532","Cleveland"," North Carolina",501.6,"stable",623
"533","Cleveland"," Oklahoma",429.2,"stable",1135
"534","Clinch"," Georgia",511.2,"stable",41
"535","Clinton"," Illinois",467,"stable",216
"536","Clinton"," Indiana",460.5,"stable",180
"537","Clinton"," Iowa",481.8,"stable",310
"538","Clinton"," Kentucky",551.3,"stable",76
"539","Clinton"," Michigan",341.1,"stable",314
"540","Clinton"," Missouri",494.9,"stable",132
"541","Clinton"," New York",507.5,"stable",499
"542","Clinton"," Ohio",466.7,"stable",234
"543","Clinton"," Pennsylvania",463.4,"stable",226
"544","Coahoma"," Mississippi",509.3,"stable",136
"545","Coal"," Oklahoma",399.3,"falling",32
"546","Cobb"," Georgia",471.5,"falling",3280
"547","Cochise"," Arizona",375,"stable",655
"548","Cochran"," Texas",341.9,"stable",12
"549","Cocke"," Tennessee",476.4,"stable",233
"550","Coconino"," Arizona",360,"stable",459
"551","Codington"," South Dakota",472.9,"stable",161
"552","Coffee"," Alabama",412,"stable",254
"553","Coffee"," Georgia",465,"stable",208
"554","Coffee"," Tennessee",477.7,"stable",320
"555","Coke"," Texas",422.3,"stable",24
"556","Colbert"," Alabama",433.1,"stable",318
"557","Cole"," Missouri",441.9,"stable",392
"558","Coleman"," Texas",418.2,"stable",57
"559","Coles"," Illinois",451.3,"stable",271
"560","Colfax"," Nebraska",411,"stable",46
"561","Colfax"," New Mexico",366.6,"stable",73
"562","Colleton"," South Carolina",464.6,"stable",239
"563","Collier"," Florida",368.7,"stable",2290
"564","Collin"," Texas",405.2,"stable",3232
"565","Collingsworth"," Texas",385.2,"stable",14
"566","Colonial Heights City"," Virginia",494,"stable",119
"567","Colorado"," Texas",423.1,"stable",129
"568","Colquitt"," Georgia",454.9,"falling",228
"569","Columbia"," Arkansas",404.5,"stable",116
"570","Columbia"," Florida",488.2,"stable",431
"571","Columbia"," Georgia",401.1,"falling",575
"572","Columbia"," New York",486.2,"stable",449
"573","Columbia"," Oregon",438.5,"stable",291
"574","Columbia"," Pennsylvania",505.5,"stable",434
"575","Columbia"," Washington",457.8,"stable",31
"576","Columbia"," Wisconsin",487.5,"stable",349
"577","Columbiana"," Ohio",441.9,"stable",637
"578","Columbus"," North Carolina",446.5,"stable",336
"579","Colusa"," California",390.7,"stable",88
"580","Comal"," Texas",388.1,"falling",617
"581","Comanche"," Oklahoma",442.4,"falling",521
"582","Comanche"," Texas",389,"stable",79
"583","Concho"," Texas",326.9,"stable",16
"584","Concordia Parish"," Louisiana",457.4,"stable",113
"585","Conecuh"," Alabama",452,"stable",81
"586","Conejos"," Colorado",287.7,"stable",30
"587","Contra Costa"," California",427,"falling",5427
"588","Converse"," Wyoming",434.8,"stable",73
"589","Conway"," Arkansas",412.4,"stable",119
"590","Cook"," Georgia",477.6,"stable",93
"591","Cook"," Illinois",451.7,"falling",25575
"592","Cooke"," Texas",414.9,"stable",206
"593","Cooper"," Missouri",491.9,"stable",105
"594","Coos"," New Hampshire",464.2,"stable",230
"595","Coos"," Oregon",430.1,"stable",435
"596","Coosa"," Alabama",355.1,"stable",60
"597","Copiah"," Mississippi",494.1,"stable",173
"598","Corson"," South Dakota",288.4,"stable",11
"599","Cortland"," New York",510.6,"stable",286
"600","Coryell"," Texas",473.4,"stable",288
"601","Coshocton"," Ohio",466,"stable",225
"602","Costilla"," Colorado",302.5,"stable",18
"603","Cottle"," Texas",353.6,"stable",9
"604","Cotton"," Oklahoma",448.9,"stable",36
"605","Covington"," Alabama",486,"stable",251
"606","Covington"," Mississippi",489.8,"stable",114
"607","Covington City"," Virginia",472.4,"stable",38
"608","Coweta"," Georgia",467.2,"stable",660
"609","Cowlitz"," Washington",462.8,"stable",621
"610","Craig"," Oklahoma",491.2,"stable",98
"611","Craig"," Virginia",414.4,"stable",32
"612","Craighead"," Arkansas",474.1,"stable",498
"613","Crane"," Texas",380.4,"stable",17
"614","Craven"," North Carolina",489.6,"stable",621
"615","Crawford"," Arkansas",460,"stable",339
"616","Crawford"," Georgia",480.3,"stable",79
"617","Crawford"," Illinois",475.4,"stable",124
"618","Crawford"," Indiana",500.1,"stable",71
"619","Crawford"," Iowa",458.3,"stable",98
"620","Crawford"," Michigan",370.7,"stable",84
"621","Crawford"," Missouri",508,"stable",163
"622","Crawford"," Ohio",456.7,"stable",270
"623","Crawford"," Pennsylvania",499.4,"stable",590
"624","Crawford"," Wisconsin",445.9,"stable",107
"625","Creek"," Oklahoma",504.9,"stable",450
"626","Crenshaw"," Alabama",469.2,"rising",86
"627","Crisp"," Georgia",450.1,"stable",131
"628","Crittenden"," Arkansas",429.8,"stable",221
"629","Crittenden"," Kentucky",490.6,"stable",62
"630","Crockett"," Tennessee",462.7,"stable",86
"631","Crockett"," Texas",314.5,"stable",14
"632","Crook"," Oregon",467,"stable",155
"633","Crook"," Wyoming",343.4,"stable",35
"634","Crosby"," Texas",419.5,"stable",30
"635","Cross"," Arkansas",489.4,"stable",105
"636","Crowley"," Colorado",296.2,"stable",18
"637","Culberson"," Texas",218.1,"stable",7
"638","Cullman"," Alabama",444,"stable",463
"639","Culpeper"," Virginia",445.4,"stable",247
"640","Cumberland"," Illinois",449.8,"stable",65
"641","Cumberland"," Kentucky",529.3,"stable",53
"642","Cumberland"," Maine",463.5,"stable",1703
"643","Cumberland"," New Jersey",512.5,"stable",891
"644","Cumberland"," North Carolina",454.6,"stable",1373
"645","Cumberland"," Pennsylvania",445,"stable",1387
"646","Cumberland"," Tennessee",448.5,"stable",458
"647","Cumberland"," Virginia",446,"stable",63
"648","Cuming"," Nebraska",419.1,"stable",56
"649","Currituck"," North Carolina",428.1,"stable",132
"650","Curry"," New Mexico",370.8,"falling",176
"651","Curry"," Oregon",373.8,"stable",162
"652","Custer"," Colorado",387.5,"falling",37
"653","Custer"," Idaho",407.1,"stable",30
"654","Custer"," Montana",513.3,"stable",85
"655","Custer"," Nebraska",402.8,"stable",66
"656","Custer"," Oklahoma",419.1,"falling",121
"657","Custer"," South Dakota",373.9,"stable",52
"658","Cuyahoga"," Ohio",476.3,"stable",7678
"659","Dade"," Georgia",408.3,"stable",88
"660","Dade"," Missouri",382.1,"stable",45
"661","Daggett"," Utah",464.8,"*",8
"662","Dakota"," Nebraska",427.4,"stable",91
"663","Dale"," Alabama",454.2,"stable",267
"664","Dallam"," Texas",435,"stable",27
"665","Dallas"," Alabama",510,"stable",258
"666","Dallas"," Arkansas",508.5,"stable",57
"667","Dallas"," Iowa",444.5,"stable",323
"668","Dallas"," Missouri",438.3,"stable",101
"669","Dallas"," Texas",419.7,"stable",9454
"670","Dane"," Wisconsin",452.1,"stable",2344
"671","Daniels"," Montana",339.8,"stable",10
"672","Danville City"," Virginia",452.3,"stable",264
"673","Dare"," North Carolina",472.7,"stable",234
"674","Darke"," Ohio",453.1,"stable",313
"675","Darlington"," South Carolina",464.4,"stable",404
"676","Dauphin"," Pennsylvania",471.9,"stable",1561
"677","Davidson"," North Carolina",474.1,"stable",989
"678","Davidson"," Tennessee",449.3,"stable",2948
"679","Davie"," North Carolina",517,"stable",300
"680","Daviess"," Indiana",430.8,"stable",159
"681","Daviess"," Kentucky",524.3,"stable",636
"682","Daviess"," Missouri",461.9,"stable",53
"683","Davis"," Iowa",440.2,"stable",49
"684","Davis"," Utah",411.2,"stable",1104
"685","Davison"," South Dakota",496.4,"stable",124
