,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
11320,Westridge Windfarm LLC,2,43.9886,-96.2156,Wind,2003,Westridge Windfarm LLC,5.755,6.169,4.471,0.096,1.615,Pipestone,Minnesota
11321,Westrock Hodge (LA),66.4,32.2752,-92.7277,Biomass,1968.475904,Westrock (LA),446.60481,417.80348,452.74785,495.161406,507.093137,Jackson Parish,Louisiana
11322,Westside Avenue,1,40.8141,-74.0213,Solar,2011,Hartz Solar LLC,NA,NA,NA,1.362,1.263,Hudson,New Jersey
11323,Westside Landfill Gas Recovery,4.8,32.7246,-97.5371,Waste,2010,WM Renewable Energy LLC,31.026,27.372,30.237,36.941,32.957,Parker,Texas
11324,Westside Solar Power PV1,2,36.219,-119.907,Solar,2016,Westside Assets LLC,NA,NA,NA,3.264,5.042,Kings,California
11325,Westside Solar Station,15,36.3787,-120.1249,Solar,2011,Pacific Gas & Electric Co.,32.642,32.102,28.713,30.612,25.383,Fresno,California
11326,Westside WWTP,1.8,35.9403,-80.1106,Oil,2005,Town Of High Point,0.006,0.006,0.004,0.007,0.113,Davidson,North Carolina
11327,Westward Seafoods,6.6,53.8585,-166.5529,Oil,1991,Westward Seafoods Inc,18.865,18.767,19.096,18.455,15.633,Aleutians West Census Area,Alaska
11328,Westwood Generation LLC,36,40.6191,-76.45,Coal,1987,Westwood Generation LLC,219.873004,213.621004,202.843001,53.874,21.492,Schuylkill,Pennsylvania
11329,Wethersfield Wind Farm,6.6,42.6788,-78.2438,Wind,2000,CHI Energy Inc,9.479,9.409,13.442,12.528,7.729,Wyoming,New York
11330,Weybridge,3,44.0661,-73.2158,Hydro,1951,Green Mountain Power Corp,16.815,13.083,10.911,10.754,13.429,Addison,Vermont
11331,Weyerhaeuser Pine Hill Operations,77.4,31.9698,-87.4806,Waste,1974.764858,International Paper Co.,498.698203,461.168001,376.573,476.045003,490.279994,Wilcox,Alabama
11332,Weymouth Solar Plant,3,34.1086,-117.7822,Solar,2016,Metropolitan Water District of S CA,NA,NA,NA,2.832,6.095,Los Angeles,California
11333,Whately Solar,1.5,42.4461,-72.6236,Solar,2013,Citizens Enterprises Corporation,1.921,2.064,2.112,2.13,2.101,Franklin,Massachusetts
11334,Wheat Field Wind Power Project,97,45.6758,-120.3183,Wind,2009,Wheat Field Wind Power Project LLC,213.905,222.066,180.736,199.03,179.354,Sherman,Oregon
11335,Wheatland Generating Facility,500.4,38.6716,-87.2931,Gas,2000,Duke Energy Indiana  LLC,72.944,38.371,51.887,108.586,71.815,Knox,Indiana
11336,Wheaton,300.2,44.8854,-91.5158,Gas,1973,Northern States Power Co - Minnesota,21.344,11.857,18.752,12.9543,73.507,Chippewa,Wisconsin
11337,Wheelabrator Baltimore Refuse,64.5,39.266,-76.6297,Waste,1985.133333,Wheelabrator Environmental Systems,314.831,323.094,321.901,363.642,336.882,City of Baltimore,Maryland
11338,Wheelabrator Bridgeport,67,41.1625,-73.2083,Waste,1988,Wheelabrator Environmental Systems,483.762,480.85,477.123,487.603,466.311,Fairfield,Connecticut
11339,Wheelabrator Concord Facility,14,43.2866,-71.5769,Waste,1989,Wheelabrator Environmental Systems,102.438,101.304,101.472,100.002,99.358,Merrimack,New Hampshire
11340,Wheelabrator Falls,53.3,40.1626,-74.7682,Waste,1994,Wheelabrator Environmental Systems,337.424,339.667,321.533,330.622,306.935,Burlington,New Jersey
11341,Wheelabrator Frackville Energy,48,40.7824,-76.1762,Coal,1988,Wheelabrator Environmental Systems,0,0,0,0,369.618001,Schuylkill,Pennsylvania
11342,Wheelabrator Gloucester LP,14,39.8733,-75.1381,Waste,1990,Wheelabrator Environmental Systems,87.821,86.036,76.04,87.696,87.146,Gloucester,New Jersey
11343,Wheelabrator Hudson Falls,14.4,43.3056,-73.5914,Waste,1991,Wheelabrator Environmental Systems,74.515,75.349,72.967,76.924,71.104,Washington,New York
11344,Wheelabrator Lisbon,14.6,41.5844,-72.0416,Waste,1995,Wheelabrator Environmental Systems,109.975,109.387,107.327,111.433,108.364,New London,Connecticut
11345,Wheelabrator Millbury Facility,47.6,42.2214,-71.7669,Waste,1987,Wheelabrator Environmental Systems,324.272,321.892,325.167,314.988,293.543,Worcester,Massachusetts
11346,Wheelabrator North Andover,40.3,42.7262,-71.1219,Waste,1985,Wheelabrator Environmental Systems,248.303,242.241,249.564,250.034,242.147,Essex,Massachusetts
11347,Wheelabrator Norwalk Energy,30.7,33.9249,-118.0679,Gas,1988,Wheelabrator Environmental Systems,75.668,31.761,34.613,38.953,34.905,Los Angeles,California
11348,Wheelabrator Portsmouth,60,36.8083,-76.3036,Waste,1987,Wheelabrator Environmental Systems,265.628002,270.258859,265.67601,251.899998,256.057004,City of Portsmouth,Virginia
11349,Wheelabrator Ridge Energy,45.5,28.0274,-81.8475,Waste,1994,Wheelabrator Environmental Systems,211.722005,195.617997,191.014,175.444004,214.181005,Polk,Florida
11350,Wheelabrator Saugus,53.7,42.447,-70.9804,Waste,1985,Wheelabrator Environmental Systems,242.671,244.541,245.37,230.59201,226.284,Essex,Massachusetts
11351,Wheelabrator Shasta,54.9,40.4283,-122.2792,Waste,1987,Wheelabrator Environmental Systems,0,0,0,0,398.767,Shasta,California
11352,Wheelabrator South Broward,66,26.0687,-80.1986,Waste,1991,Wheelabrator Environmental Systems,388.545,322.30101,411.437,407.958,435.334,Broward,Florida
11353,Wheelabrator Westchester,59.7,41.2771,-73.9423,Waste,1984,Wheelabrator Environmental Systems,389.707,388.70001,396.744,387.353,394.25,Westchester,New York
11354,Wheeler Dam,404,34.8069,-87.3819,Hydro,1949.90198,Tennessee Valley Authority,1863.392,1247.298,1439.823,1014.935,1295.648,Lauderdale,Alabama
11355,Whelan Energy Center,324.3,40.5809,-98.3124,Coal,2003.941721,City of Hastings - (NE),1781.912995,1673.670989,1380.537037,1253.697966,1164.413956,Adams,Nebraska
11356,Whillock,32.4,35.1276,-92.7903,Hydro,1993,Arkansas Electric Coop Corp,144.88,153.723,102.453,169.672,121.74,Conway,Arkansas
11357,Whirlpool Corporation - Marion Wind Farm,4.5,40.5912,-83.1785,Wind,2017,OEE XXIII LLC,NA,NA,NA,NA,1.319,Marion,Ohio
11358,Whirlwind Energy Center,59.8,34.105,-101.0986,Wind,2008,Whirlwind Energy LLC,208.661,233.493,209.893,209.372,194.941,Floyd,Texas
11359,Whiskeytown,3.5,40.5976,-122.5387,Hydro,1986,City of Redding - (CA),26.941,23.422,27.355,24.231,26.439,Shasta,California
11360,Whispering Willow Wind Farm - East,199.7,42.6305,-93.2064,Wind,2010,Interstate Power and Light Co,639.069,621.597,653.103,630.455,626.369,Franklin,Iowa
11361,Whistling Winds DPC Solar,1.5,43.9721,-90.0719,Solar,2017,SoCore Energy LLC,NA,NA,NA,NA,1.502,Juneau,Wisconsin
11362,Whitakers,12,36.1272,-77.7344,Solar,2016,Colonial Eagle Solar  LLC,NA,NA,0.033,26.537,27.922,Halifax,North Carolina
