,Site.Name,Site.Score,State,City,County,Status,Latitude,Longitude,Proposed.Date,Listing.Date,Construction.Completion.Date,NOID.Date,Deletion.Date
3990,Lansdowne Radiation Site,0,Pennsylvania,Lansdowne,Delaware,Deleted NPL Site,39.9413,-75.2671,4/10/85,9/16/85,2/28/91,3/18/91,9/10/91
3991,Route 940 Drum Dump,44.06,Pennsylvania,Pocono Summit,Monroe,Deleted NPL Site,41.1105,-75.3825,9/18/85,7/22/87,9/28/92,8/14/00,11/30/00
3992,Croydon TCE,31.6,Pennsylvania,Croydon,Bucks,NPL Site,40.084934,-74.8892,9/18/85,6/10/86,3/31/97,,
3993,Revere Chemical Co.,31.31,Pennsylvania,Nockamixon Township,Bucks,NPL Site,40.502781,-75.168889,9/18/85,7/22/87,11/2/98,,
3994,Bendix Flight Systems Division,33.74,Pennsylvania,Bridgewater Township,Susquehanna,NPL Site,41.797361,-75.88625,9/18/85,7/22/87,9/30/96,,
3995,C & D Recycling,43.92,Pennsylvania,Foster Township,Luzerne,Deleted NPL Site,41.031389,-75.841669,9/18/85,7/22/87,9/30/99,12/26/17,2/26/18
3996,Bally Ground Water Contamination,37.93,Pennsylvania,Bally Borough,Berks,NPL Site,40.3984,-75.5933,6/10/86,7/22/87,5/28/99,,
3997,"CryoChem, Inc.",28.58,Pennsylvania,Worman,Berks,NPL Site,40.317219,-75.691669,6/10/86,10/4/89,9/22/98,,
3998,Eastern Diversified Metals,31.02,Pennsylvania,Hometown,Schuylkill,NPL Site,40.829439,-75.9975,6/10/86,10/4/89,9/16/08,,
3999,Naval Air Development Center (8 Waste Areas),57.93,Pennsylvania,Warminster Township,Bucks,NPL Site,40.1996,-75.0642,6/10/86,10/4/89,9/28/00,,
4000,Hebelka Auto Salvage Yard,31.94,Pennsylvania,Weisenberg Township,Lehigh,Deleted NPL Site,40.576669,-75.667781,6/10/86,7/22/87,12/30/93,6/24/99,9/20/99
4001,Hellertown Manufacturing Co.,51.91,Pennsylvania,Hellertown,Northampton,NPL Site,40.595417,-75.340947,1/22/87,3/31/89,9/27/96,,
4002,Novak Sanitary Landfill,42.31,Pennsylvania,South Whitehall Township,Lehigh,NPL Site,40.6332,-75.5611,1/22/87,10/4/89,9/17/02,,
4003,Aladdin Plating,35.57,Pennsylvania,Scott Township,Lackawanna,Deleted NPL Site,41.491939,-75.662781,1/22/87,7/22/87,9/26/96,9/17/01,11/16/01
4004,Commodore Semiconductor Group,42.35,Pennsylvania,Lower Providence Township,Montgomery,NPL Site,40.1241,-75.4194,1/22/87,10/4/89,8/24/00,,
4005,"River Road Landfill (Waste Management, Inc.)",43.12,Pennsylvania,Hermitage,Mercer,Deleted NPL Site,41.266669,-80.4875,1/22/87,10/4/89,12/29/95,9/26/03,1/29/04
4006,Saegertown Industrial Area,33.62,Pennsylvania,Saegertown,Crawford,NPL Site,41.71884,-80.142972,6/24/88,2/21/90,3/15/04,,
4007,Berkley Products Co. Dump,30,Pennsylvania,Denver,Lancaster,Deleted NPL Site,40.25555,-76.155281,6/24/88,3/31/89,9/19/01,1/18/07,3/19/07
4008,Avco Lycoming (Williamsport Division),42.24,Pennsylvania,Williamsport,Lycoming,NPL Site,41.244031,-77.041111,1/22/87,2/21/90,9/27/02,,
4009,Bell Landfill,34.79,Pennsylvania,Terry Township,Bradford,NPL Site,41.633061,-76.389169,6/24/88,10/4/89,2/23/99,,
4010,William Dick Lagoons,36.64,Pennsylvania,West Caln Township,Chester,NPL Site,40.041939,-75.898061,1/22/87,7/22/87,,,
4011,Boarhead Farms,39.92,Pennsylvania,Bridgeton Township,Bucks,NPL Site,40.545831,-75.125,6/24/88,3/31/89,11/10/03,,
4012,Berks Landfill,46.1,Pennsylvania,Spring Township,Berks,Deleted NPL Site,40.291389,-76.031111,6/24/88,10/4/89,12/22/00,9/15/08,11/14/08
4013,Strasburg Landfill,30.71,Pennsylvania,Newlin Township,Chester,Deleted NPL Site,39.944439,-75.768061,6/24/88,3/31/89,9/27/99,7/3/19,9/5/19
4014,Westinghouse Electric Corp. (Sharon Plant),41.33,Pennsylvania,Sharon,Mercer,NPL Site,41.2434,-80.5058,6/24/88,8/30/90,12/22/05,,
4015,Recticon/Allied Steel Corp.,32.06,Pennsylvania,East Conventry Township,Chester,Deleted NPL Site,40.203469,-75.589031,6/24/88,10/4/89,12/14/99,7/17/18,9/14/18
4016,Occidental Chemical Corp./Firestone Tire & Rubber Co.,45.91,Pennsylvania,Lower Pottsgrove Township,Montgomery,NPL Site,40.232081,-75.614169,6/24/88,10/4/89,9/29/08,,
4017,North Penn - Area 1,35.57,Pennsylvania,Souderton,Montgomery,NPL Site,40.3108,-75.3252,1/22/87,3/31/89,9/24/98,,
4018,North Penn - Area 12,28.9,Pennsylvania,Worcester,Montgomery,NPL Site,40.1807,-75.3537,1/22/87,2/21/90,9/20/00,,
4019,North Penn - Area 7,35.57,Pennsylvania,North Wales,Montgomery,NPL Site,40.218061,-75.278889,1/22/87,3/31/89,,,
4020,North Penn - Area 6,35.57,Pennsylvania,Lansdale,Montgomery,NPL Site,40.248331,-75.295639,1/22/87,3/31/89,,,
4021,North Penn - Area 2,35.57,Pennsylvania,Hatfield,Montgomery,NPL Site,40.293889,-75.297781,1/22/87,10/4/89,8/8/12,,
4022,North Penn - Area 5,35.57,Pennsylvania,Montgomery Township,Montgomery,NPL Site,40.2721,-75.2451,1/22/87,3/31/89,,,
4023,"AMP, Inc. (Glen Rock Facility)",39.03,Pennsylvania,Glen Rock,York,Deleted NPL Site,39.8218,-76.6944,6/24/88,10/4/89,12/14/95,7/26/96,10/2/96
4024,Tonolli Corp.,46.58,Pennsylvania,Nesquehoning,Carbon,NPL Site,40.850561,-75.881111,6/24/88,10/4/89,12/13/99,,
4025,Butz Landfill,32,Pennsylvania,Stroudsburg,Monroe,NPL Site,41.0335,-75.3438,6/24/88,3/31/89,6/20/01,,
4026,"Jacks Creek/Sitkin Smelting & Refining, Inc.",40.37,Pennsylvania,Maitland,Mifflin,NPL Site,40.641531,-77.475281,6/24/88,10/4/89,12/23/04,,
4027,Elizabethtown Landfill,28.98,Pennsylvania,Elizabethtown,Lancaster,NPL Site,40.132781,-76.608189,6/24/88,3/31/89,,,
